frame,tracker_id,x,y,w,h,ok
0,1,564,464,167,64,True
0,2,759,459,52,37,True
1,1,564,465,167,64,True
1,2,760,459,50,36,True
2,1,564,465,167,64,True
2,2,761,463,49,35,True
3,1,564,466,167,64,True
3,2,760,464,48,35,True
4,1,562,466,170,65,True
4,2,761,463,48,35,True
5,1,559,465,177,68,True
5,2,757,452,48,35,True
6,1,561,466,174,67,True
6,2,758,453,48,35,True
7,1,561,466,174,67,True
7,2,763,453,44,32,True
8,1,564,467,167,64,True
8,2,765,468,44,31,True
9,1,564,468,164,63,True
9,2,760,469,44,31,True
10,1,563,467,164,63,True
10,2,760,470,44,31,True
11,1,562,467,164,63,True
11,2,759,464,44,31,True
12,1,562,466,167,64,True
12,2,761,468,44,31,True
13,1,563,467,164,63,True
13,2,750,473,46,33,True
14,1,563,468,161,62,True
14,2,752,472,45,33,True
15,1,563,468,161,62,True
15,2,759,466,47,34,True
16,1,563,468,161,62,True
16,2,759,455,47,34,True
17,1,563,469,157,60,True
17,2,760,452,47,34,True
18,1,562,469,157,60,True
18,2,756,456,49,35,True
19,1,562,469,157,60,True
19,2,756,456,49,35,True
20,1,564,470,154,59,True
20,2,757,457,49,35,True
21,1,561,469,154,59,True
21,2,755,460,50,36,True
22,1,562,469,154,59,True
22,2,755,461,50,36,True
23,1,560,469,157,60,True
23,2,758,465,51,37,True
24,1,563,470,154,59,True
24,2,759,466,50,36,True
25,1,557,470,154,59,True
25,2,760,466,48,35,True
26,1,556,469,157,60,True
26,2,749,476,49,35,True
27,1,558,470,157,60,True
27,2,758,465,49,35,True
28,1,557,469,161,62,True
28,2,758,464,49,35,True
29,1,556,469,161,62,True
29,2,759,465,48,35,True
30,1,555,469,164,63,True
30,2,759,466,49,35,True
31,1,554,469,164,63,True
31,2,755,470,49,35,True
32,1,554,469,164,63,True
32,2,754,469,49,35,True
33,1,553,469,164,63,True
33,2,754,469,51,37,True
34,1,553,469,164,63,True
34,2,753,467,51,37,True
35,1,554,469,161,62,True
35,2,754,466,51,37,True
36,1,554,470,161,62,True
36,2,754,466,52,37,True
37,1,554,470,161,62,True
37,2,755,467,53,38,True
38,1,552,470,164,63,True
38,2,753,469,52,37,True
39,1,551,469,164,63,True
39,2,756,466,52,37,True
40,1,551,470,164,63,True
40,2,755,467,52,37,True
41,1,550,469,167,64,True
41,2,751,470,53,38,True
42,1,549,470,167,64,True
