frame,tracker_id,meas_x,meas_y,meas_w,meas_h,smooth_x,smooth_y,smooth_w,smooth_h,ok,reinit_attempted,reinit_success,reinit_failed
0,1,564.0,469.0,173.0,60.0,0.0,0.0,0.0,0.0,True,False,False,False
0,2,758.0,459.0,51.0,50.0,0.0,0.0,0.0,0.0,True,False,False,False
1,1,563.0,469.0,173.0,60.0,51.18181610107422,42.63635969161987,15.727272033691406,5.454545021057129,True,False,False,False
1,2,757.0,458.0,51.0,50.0,68.81817841529846,41.63636088371277,4.636363506317139,4.545454502105713,True,False,False,False
2,1,562.0,469.0,176.0,61.0,217.28655242919922,175.7044153213501,41.41984558105469,14.35877799987793,True,False,False,False
2,2,757.0,459.0,52.0,51.0,280.58621072769165,171.33127069473267,12.22900676727295,11.992365837097168,True,False,False,False
3,1,563.0,469.0,173.0,60.0,481.3044204711914,384.2604675292969,68.59660339355469,23.78558349609375,True,False,False,False
3,2,754.0,458.0,50.0,49.0,609.1757764816284,373.56427478790283,20.030282974243164,19.635976791381836,True,False,False,False
4,1,561.0,469.0,176.0,61.0,676.2827796936035,539.9919414520264,93.79564666748047,32.516849517822266,True,False,False,False
4,2,756.0,458.0,51.0,50.0,856.201096534729,524.6173143386841,27.296415328979492,26.760000228881836,True,False,False,False
5,1,561.0,469.0,176.0,61.0,747.7010154724121,599.5662040710449,114.40619659423828,39.658241271972656,True,False,False,False
5,2,756.0,458.0,51.0,50.0,952.2181015014648,582.6395168304443,33.23945617675781,32.58681106567383,True,False,False,False
6,1,562.0,470.0,173.0,60.0,742.0086364746094,599.2148857116699,129.62042236328125,44.940101623535156,True,False,False,False
6,2,757.0,447.0,52.0,51.0,954.0601673126221,573.8792190551758,38.11074447631836,37.36790466308594,True,False,False,False
7,1,562.0,471.0,169.0,59.0,703.470832824707,573.67405128479,140.03709411621094,48.65922164916992,True,False,False,False
7,2,756.0,458.0,52.0,51.0,914.1361999511719,553.2107601165771,41.78472900390625,40.9738655090332,True,False,False,False
8,1,560.0,470.0,169.0,59.0,657.87744140625,541.4846591949463,147.7742919921875,51.42167282104492,True,False,False,False
8,2,752.0,456.0,54.0,53.0,862.6453437805176,524.3372707366943,45.047935485839844,44.18654251098633,True,False,False,False
9,1,559.0,469.0,173.0,60.0,619.6743240356445,512.9878482818604,154.54856872558594,53.7253532409668,True,False,False,False
9,2,754.0,458.0,52.0,51.0,819.5673351287842,499.5232963562012,46.91489028930664,46.016273498535156,True,False,False,False
10,1,560.0,470.0,173.0,60.0,592.6672134399414,492.95956230163574,159.5175018310547,55.415103912353516,True,False,False,False
10,2,754.0,461.0,50.0,49.0,787.5837516784668,482.5523262023926,47.745704650878906,46.819786071777344,True,False,False,False
11,1,563.0,472.0,166.0,57.0,575.7115097045898,480.7842617034912,161.2658233642578,55.84254837036133,True,False,False,False
11,2,755.0,459.0,51.0,50.0,768.3108062744141,469.74194526672363,48.623382568359375,47.677486419677734,True,False,False,False
12,1,558.0,470.0,173.0,60.0,564.0386123657227,473.09599113464355,164.4330291748047,56.96469497680664,True,False,False,False
12,2,755.0,458.0,52.0,51.0,757.805305480957,461.70645332336426,49.53477478027344,48.574275970458984,True,False,False,False
13,1,562.0,472.0,166.0,57.0,559.6010360717773,470.1513442993164,164.8561553955078,56.97422790527344,True,False,False,False
13,2,752.0,457.0,53.0,52.0,750.8150539398193,457.13846588134766,50.47047805786133,49.49931335449219,True,False,False,False
14,1,556.0,470.0,173.0,60.0,555.3697357177734,468.49303817749023,167.05569458007812,57.79145050048828,True,False,False,False
14,2,754.0,460.0,51.0,50.0,749.2784576416016,457.1342067718506,50.613494873046875,49.63454055786133,True,False,False,False
15,1,555.0,470.0,176.0,61.0,553.9723281860352,468.4605712890625,169.4717254638672,58.65814208984375,True,False,False,False
15,2,753.0,458.0,51.0,50.0,748.8341674804688,456.1706943511963,50.7178955078125,49.73325729370117,True,False,False,False
16,1,553.0,469.0,180.0,62.0,553.3518676757812,468.3432369232178,172.3157958984375,59.5609016418457,True,False,False,False
16,2,753.0,458.0,52.0,51.0,749.7719573974609,456.4088382720947,51.064239501953125,50.0754508972168,True,False,False,False
17,1,553.0,470.0,180.0,62.0,553.3690567016602,469.3236255645752,174.3916473388672,60.21981430053711,True,False,False,False
17,2,755.0,456.0,50.0,49.0,751.927059173584,454.7979373931885,50.77674102783203,49.7849235534668,True,False,False,False
18,1,553.0,470.0,180.0,62.0,553.556755065918,469.9574947357178,175.90675354003906,60.70073318481445,True,False,False,False
18,2,754.0,455.0,48.0,47.0,752.134952545166,453.03248023986816,50.02660369873047,49.03257369995117,True,False,False,False
19,1,549.0,468.0,187.0,65.0,552.3713073730469,469.49602699279785,178.90362548828125,61.8621940612793,True,False,False,False
19,2,754.0,456.0,48.0,47.0,752.5131912231445,453.38244247436523,49.47911071777344,48.48346710205078,True,False,False,False
20,1,552.0,470.0,180.0,62.0,552.1024856567383,469.93447494506836,179.19981384277344,61.89942169189453,True,False,False,False
20,2,754.0,457.0,48.0,47.0,752.9104957580566,454.783447265625,49.07952117919922,48.08270263671875,True,False,False,False
21,1,551.0,470.0,180.0,62.0,551.2211456298828,470.13747215270996,179.41598510742188,61.92659378051758,True,False,False,False
21,2,754.0,457.0,48.0,47.0,753.2525424957275,455.78028297424316,48.78788375854492,47.79020309448242,True,False,False,False
22,1,545.0,468.0,191.0,66.0,548.9529724121094,469.6579246520996,182.54547119140625,63.02704620361328,True,False,False,False
22,2,754.0,458.0,49.0,48.0,753.7710704803467,457.45543479919434,48.84518814086914,47.84688186645508,True,False,False,False
23,1,549.0,470.0,183.0,63.0,548.6511611938477,470.04792976379395,182.6682586669922,63.01974105834961,True,False,False,False
23,2,753.0,458.0,49.0,48.0,753.2604122161865,458.28100395202637,48.88701248168945,47.888248443603516,True,False,False,False
24,1,549.0,470.0,183.0,63.0,548.6106262207031,470.2017192840576,182.75787353515625,63.014408111572266,True,False,False,False
24,2,754.0,460.0,48.0,47.0,753.5235385894775,459.8870105743408,48.64738082885742,47.64828109741211,True,False,False,False
25,1,548.0,469.0,183.0,63.0,547.9010391235352,469.4409999847412,182.8232879638672,63.01051712036133,True,False,False,False
25,2,754.0,457.0,50.0,49.0,754.2161350250244,458.72093391418457,49.01279830932617,48.01345443725586,True,False,False,False
26,1,547.0,470.0,183.0,63.0,546.8465881347656,469.81250762939453,182.87103271484375,63.00767517089844,True,False,False,False
26,2,753.0,457.0,50.0,49.0,753.7254867553711,457.9206199645996,49.27949523925781,48.27997589111328,True,False,False,False
27,1,548.0,470.0,183.0,63.0,547.2226638793945,470.0074234008789,182.90586853027344,63.00559997558594,True,False,False,False
27,2,752.0,457.0,52.0,51.0,753.1322364807129,457.9401664733887,50.01445770263672,49.014808654785156,True,False,False,False
28,1,549.0,471.0,180.0,62.0,547.5587844848633,470.6146926879883,182.12083435058594,62.73393249511719,True,False,False,False
